Lien image,Question,Difficulté,Réponse
Bulma,Qui est ce ?,Facile,Bulma
C.C.,Qui est ce ?,Facile,C.C.
Changelin,Qui est ce ?,Facile,Changelin / Beast Boy
Cosmo,Qui est ce ?,Difficile,Cosmo
Fuya_Hyouka,Qui est ce ?,Hardcore,Fuya Hyouka
Gon,Qui est ce ?,Facile,Gon Freecss
Grinch,Qui est ce ?,Moyen,Le Grinch
Hierophant_Green,Comment s'appelle ce Stand ?,Facile,Hierophant Green
Iggy,Comment se nomme ce koopaling ?,Moyen,Iggy
Jack,Qui est ce ?,Hardcore,Jack
Jenny,Comment s'appelle t'elle ?,Facile,Officier Jenny
Mallow,Qui est ce ?,Moyen,Barbara / Mallow
Midoriya,Qui est ce ?,Facile,Izuku Midoriya
N,Qui est ce ?,Moyen,N
Palutena,Qui est ce ?,Moyen,Palutena
Rohan,Qui est ce magnifique personnage ?,Facile,Rohan Kishibe
Roronoa_Zoro,Qui est ce ?,Facile,Roronoa Zoro
Soraka_Star,Comment se nomme ce skin ?,Facile,Soraka gardienne des étoiles
Tatsumaki,Comment s'appelle t'elle ?,Facile,Tatsumaki
Zac,Comment s'appelle t'il ?,Facile,Zac
